text,label
I have a mild headache,0
I have a slight cold,0
నాకు తేలికపాటి తలనొప్పి ఉంది,0
నాకు జలుబు ఉంది,0
मुझे हल्का सिरदर्द है,0
I have a runny nose,0
slight body ache,0
నాకు కొంచెం దగ్గు ఉంది,0
mild fever since morning,0
मुझे थोड़ी खांसी है,0
I have fever and cough for 2 days,1
నాకు రెండు రోజులుగా జ్వరం మరియు దగ్గు ఉంది,1
मुझे दो दिनों से बुखार है,1
I have vomiting and diarrhea,1
నాకు వాంతులు మరియు విరేచనాలు ఉన్నాయి,1
body pain and high fever,1
నాకు అధిక జ్వరం మరియు శరీర నొప్పి ఉంది,1
मुझे उल्टी और दस्त हो रहे हैं,1
I have stomach pain and nausea,1
నాకు కడుపు నొప్పి ఉంది,1
I have severe chest pain,2
నాకు తీవ్రమైన ఛాతీ నొప్పి ఉంది,2
मुझे तेज सीने में दर्द है,2
difficulty breathing since last night,2
నాకు శ్వాస తీసుకోవడం కష్టంగా ఉంది,2
high fever with seizures,2
నాకు మూర్ఛలు వస్తున్నాయి,2
मुझे सांस लेने में तकलीफ है,2
severe abdominal pain,2
నాకు తీవ్రమైన కడుపు నొప్పి ఉంది,2
I cannot breathe at all,3
నాకు అస్సలు శ్వాస రావడం లేదు,3
मुझे बिल्कुल सांस नहीं आ रही,3
patient is unconscious,3
రోగి స్పృహ కోల్పోయాడు,3
heart attack symptoms,3
నాకు గుండె పోటు వచ్చినట్టు అనిపిస్తోంది,3
severe bleeding that won't stop,3
తీవ్రమైన రక్తస్రావం ఆగడం లేదు,3
stroke symptoms face drooping,3
